ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"São permitidas encomendas?","Vender individualmente?","Peso (g)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download",Pai,"Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Atributo padrão 2"
822,variable,38128560,"Top Fitness Activity Tecnológico Unlimit - Bordô",1,0,visible,,"<h2>Top Fitness Activity Tecnológico Unlimit</h2>
Este <strong>Top Fitness Activity Tecnológico </strong>é feito de um tecido com 30% de elastano que confere maior sustentação para os seios. O tecido comprime de uma forma que ao praticar exercícios, os seios não se movimentem com força, fazendo com que diminua as dores pós treino e lesões musculares.

Tecnologias do tecido:
<ul>
 	<li>Aumenta a sustentabilidade dos seios</li>
 	<li>Redução da fadiga muscular</li>
 	<li>Rápida recuperação muscular</li>
 	<li>Aumento da performance esportiva</li>
 	<li>Eco-Dry (secagem rápida)</li>
 	<li>Easy Care, não precisa passar</li>
 	<li>Proteção UV50  contra radiação ultravioleta</li>
 	<li>Isento de produtos tóxicos com certificação Oeko-Tex 100 Classe I</li>
 	<li>Composição: 70% Poliamida 30% Elastano</li>
</ul>
Para vestir-se bem em:
<ul>
 	<li>No seu dia a dia</li>
 	<li>Caminhadas</li>
 	<li>Corridas</li>
 	<li>Ciclismo</li>
 	<li>Academia</li>
 	<li>Musculação</li>
 	<li>Crossfit</li>
</ul>
<em>Top Fitness Activity com Garantia contra defeitos de fabricação de 30 dias.</em>",,,taxable,,1,,0,0,500,26,16,7,1,,,,"Moda Fitness, Roupas Fitness, Feminino > Top Fitness > Top Academia, Feminino > Top Fitness > Top Ginástica, Feminino > Top Fitness > Top para Malhar, Feminino, Feminino > Top Fitness","Corrida, CrossFit",,"https://unlimit.fit/wp-content/uploads/2018/02/top-fitnessactivity-feminino-bordo-unlimit-1.jpg, https://unlimit.fit/wp-content/uploads/2018/02/top-fitnessactivity-feminino-bordo-unlimit-2.jpg, https://unlimit.fit/wp-content/uploads/2018/02/top-fitnessactivity-feminino-bordo-unlimit-3.jpg",,,,,,,,,0,Tamanho,"P, M, G",1,0,P,Cores,Bordô,1,0,Bordô
823,variation,38128561,"Top Fitness Activity Tecnológico Unlimit - Bordô - P, Bordô",1,0,visible,,,,,taxable,,1,2,0,0,,,,,0,,,"69,9000000000",,,,,,,38128560,,,,,,0,Tamanho,P,,0,,Cores,Bordô,,0,
824,variation,38128562,"Top Fitness Activity Tecnológico Unlimit - Bordô - M, Bordô",1,0,visible,,,,,taxable,,1,2,0,0,,,,,0,,,"69,9000000000",,,,,,,38128560,,,,,,0,Tamanho,M,,0,,Cores,Bordô,,0,
825,variation,38128563,,1,0,visible,,,,,taxable,,backorder,0,0,0,,,,,0,,,"69,9000000000",,,,,,,,,,,,,0,,,,,,,,,,
826,variable,38128568,"Jaqueta Corta Vento Unissex Unlimit - Azul Claro",1,1,visible,"A <strong>Jaqueta Corta Vento Unissex Unlimit Azul </strong>é feita<strong> </strong>para homens e mulheres exigentes que procuram conforto<strong> </strong>e proteção contra o vento e frio. Feita com tecido leve, ela possui bolsos laterais com zíper e forro delicado para o tecido não grudar no corpo. Tem uma pegada inovadora e fashion, sem muitos detalhes aparentes. A simplicidade desta jaqueta trás todo seu charme.","<h2>Jaqueta Corta Vento Unissex Unlimit</h2>
<h3><strong>Descrição do Produto:</strong></h3>
<p style=""margin: 0px 0px 1em; line-height: 1.4; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 15px;"">A <strong>Jaqueta Corta Vento Unissex Unlimit Azul Claro </strong>é feita<strong> </strong>para homens e mulheres exigentes que procuram conforto<strong> </strong>e proteção contra o vento e frio. Feita com tecido leve, ela possui bolsos laterais com zíper e forro delicado para o tecido não grudar na pele. Tem uma pegada inovadora e fashion, sem muitos detalhes aparentes. A simplicidade desta jaqueta trás todo seu charme.</p>

<h3><strong>Tecnologias do tecido:</strong></h3>
<ul>
 	<li>Eco-Dry (secagem rápida)</li>
 	<li>Easy Care, não precisa passar</li>
 	<li>Zíper</li>
 	<li>Bolsos laterais com zíper</li>
 	<li>Toca</li>
 	<li>Forrada com tela plume de extremo conforto e não deixa grudar na pele</li>
 	<li>Marca estampada na parte da frente com adesivo</li>
 	<li>Isento de produtos tóxicos com certificação Oeko-Tex 100 Classe I</li>
 	<li>Composição: 100% Poliamida no tecido interno e externo</li>
</ul>
<h3><strong>Indicado para:</strong></h3>
Esta Jaqueta Corta Vento é ideal para corridas e caminhadas em ambientes com vento e frio. Ela corta o vento para que seu corpo não tenha trocas rápidas de temperatura. Você pode usar ela para caminhas, corridas e pra saídas da academia. Que tal usar em seu dia a dia como uma peça de roupa mais jogada e fashion?

<strong>Você pode saber mais sobre em <a href=""http://blog.unlimit.fit"">blog.unlimit.fit</a>.</strong>
<h3><strong>Garantia e Trocas Unlimit:</strong></h3>
<em>Garantia contra defeitos de fabricação de 30 dias.
Primeira troca grátis.
Não gostou do produto? Devolvemos em até 30 dias.</em>

Jaqueta Corta Vento Unissex Unlimit Azul Claro",,,taxable,,1,,0,0,500,26,16,7,1,,,,"Moda Fitness, Roupas Fitness, Feminino, Feminino > Jaqueta Corta Vento Feminina, Masculino, Masculino > Jaqueta Corta Vento, sale","Corrida, Dia a Dia",,https://unlimit.fit/wp-content/uploads/2018/02/jaqueta-corta-vento-unissex-azul-claro1.jpg,,,,,,,,,0,Tamanho,"P, M, G",1,0,P,Cores,"Azul Claro",1,0,"Azul Claro"
827,variation,38128569,"Jaqueta Corta Vento Unissex Unlimit - Azul Claro - P, Azul Claro",1,0,visible,,,,,taxable,,1,2,0,0,,,,,0,,"119,00","169,9000000000",,,,,,,38128568,,,,,,0,Tamanho,P,,0,,Cores,"Azul Claro",,0,
828,variation,38128570,"Jaqueta Corta Vento Unissex Unlimit - Azul Claro - M, Azul Claro",1,0,visible,,,,,taxable,,1,5,0,0,,,,,0,,"119,00","169,9000000000",,,,,,,38128568,,,,,,0,Tamanho,M,,0,,Cores,"Azul Claro",,0,
829,variation,38128571,"Jaqueta Corta Vento Unissex Unlimit - Azul Claro - G, Azul Claro",1,0,visible,,,,,taxable,,1,3,0,0,,,,,0,,"119,00","169,9000000000",,,,,,,38128568,,,,,,0,Tamanho,G,,0,,Cores,"Azul Claro",,0,
830,variable,38128564,"Jaqueta Corta Vento Unissex Unlimit - Marinho",1,0,visible,"A <strong>Jaqueta Corta Vento Unissex Unlimit Azul </strong>é feita<strong> </strong>para homens e mulheres exigentes que procuram conforto<strong> </strong>e proteção contra o vento e frio. Feita com tecido leve, ela possui bolsos laterais com zíper e forro delicado para o tecido não grudar no corpo. Tem uma pegada inovadora e fashion, sem muitos detalhes aparentes. A simplicidade desta jaqueta trás todo seu charme.","<h2>Jaqueta Corta Vento Unissex Unlimit Marinho</h2>
<h3><strong>Descrição do Produto:</strong></h3>
<p style=""margin: 0px 0px 1em; line-height: 1.4; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 15px;"">A <strong>Jaqueta Corta Vento Unissex Unlimit Azul Marinho </strong>é feita<strong> </strong>para homens e mulheres exigentes que procuram conforto<strong> </strong>e proteção contra o vento e frio. Feita com tecido leve, ela possui bolsos laterais com zíper e forro delicado para o tecido não grudar na pele. Tem uma pegada inovadora e fashion, sem muitos detalhes aparentes. A simplicidade desta jaqueta trás todo seu charme.</p>

<h3><strong>Tecnologias do tecido:</strong></h3>
<ul>
 	<li>Eco-Dry (secagem rápida)</li>
 	<li>Easy Care, não precisa passar</li>
 	<li>Zíper</li>
 	<li>Bolsos laterais com zíper</li>
 	<li>Toca</li>
 	<li>Forrada com tela plume de extremo conforto e não deixa grudar na pele</li>
 	<li>Marca estampada na parte da frente com adesivo</li>
 	<li>Isento de produtos tóxicos com certificação Oeko-Tex 100 Classe I</li>
 	<li>Composição: 100% Poliamida no tecido interno e externo</li>
</ul>
<h3><strong>Indicado para:</strong></h3>
Esta Jaqueta Corta Vento é ideal para corridas e caminhadas em ambientes com vento e frio. Ela corta o vento para que seu corpo não tenha trocas rápidas de temperatura. Você pode usar ela para caminhas, corridas e pra saídas da academia. Que tal usar em seu dia a dia como uma peça de roupa mais jogada e fashion?

<strong>Você pode saber mais sobre em <a href=""http://blog.unlimit.fit"">blog.unlimit.fit</a>.</strong>
<h3><strong>Garantia e Trocas Unlimit:</strong></h3>
<em>Garantia contra defeitos de fabricação de 30 dias.
Primeira troca grátis.
Não gostou do produto? Devolvemos em até 30 dias.</em>

Jaqueta Corta Vento Unissex Unlimit Azul Marinho",,,taxable,,1,,0,0,500,26,16,7,1,,,,"Moda Fitness, Masculino > Moda Fitness Masculina, Roupas Fitness, Feminino, Feminino > Jaqueta Corta Vento Feminina, Masculino, Masculino > Jaqueta Corta Vento, sale","Corrida, Dia a Dia",,https://unlimit.fit/wp-content/uploads/2018/02/jaqueta-corta-vento-unissex-marinho1.jpg,,,,,,,,,0,Tamanho,"P, M, G",1,0,P,Cores,Marinho,1,0,Marinho
843,variation,38128565,"Jaqueta Corta Vento Unissex Unlimit - Marinho - P, Marinho",1,0,visible,,,,,taxable,,1,1,0,0,,,,,0,,"119,00","169,9000000000",,,,,,,38128564,,,,,,0,Tamanho,P,,0,,Cores,Marinho,,0,
